Sales Person,Product,Country,Date,Amount,Boxes,Order Status
Wilone O'Kielt,Eclairs,Australia,2023-06-13,2873.25,125,Delivered
Oby Sorrel,Orange Choco,USA,2023-06-13,9177.75,835,Delivered
Andria Kimpton,Eclairs,UK,2023-06-14,1156.5,56,Delivered
Kelci Walkden,Eclairs,UK,2023-06-14,5316.75,266,Delivered
Ches Bonnell,Eclairs,UK,2023-06-14,679.5,38,Delivered
Wilone O'Kielt,Peanut Butter Cubes,Canada,2023-06-14,4065.75,204,Delivered
Roddy Speechley,Organic Choco Syrup,India,2023-06-14,6804.0,341,Delivered
Dennison Crosswaite,99% Dark & Pure,USA,2023-06-14,18434.25,769,Delivered
Jehu Rudeforth,Fruit & Nut Bars,USA,2023-06-14,6779.25,252,Delivered
Madelene Upcott,White Choc,USA,2023-06-14,4308.75,180,Delivered
Ches Bonnell,Mint Chip Choco,USA,2023-06-14,4313.25,360,Delivered
Kelci Walkden,Organic Choco Syrup,New Zealand,2023-06-14,5208.75,249,Delivered
Jehu Rudeforth,Choco Coated Almonds,UK,2023-06-14,6381.0,532,Delivered
Husein Augar,Orange Choco,Canada,2023-06-14,1530.0,255,Delivered
Roddy Speechley,Choco Coated Almonds,India,2023-06-14,2954.25,269,Delivered
Curtice Advani,Spicy Special Slims,UK,2023-06-14,54.0,4,Delivered
Dotty Strutley,Smooth Silky Salty,India,2023-06-14,544.5,46,Delivered
Kaine Padly,Drinking Coco,Canada,2023-06-14,6237.0,693,Delivered
Dotty Strutley,Drinking Coco,UK,2023-06-14,5366.25,597,Delivered
Beverie Moffet,Organic Choco Syrup,USA,2023-06-15,18580.5,885,Delivered
Rafaelita Blaksland,Drinking Coco,Canada,2023-06-15,4146.75,415,Delivered
Gigi Bohling,Choco Coated Almonds,India,2023-06-15,882.0,63,Delivered
Andria Kimpton,Baker's Choco Chips,New Zealand,2023-06-15,13459.5,673,Delivered
Kelci Walkden,Smooth Silky Salty,India,2023-06-15,1176.75,118,Delivered
Marney O'Breen,99% Dark & Pure,UK,2023-06-15,4803.75,253,Delivered
Dotty Strutley,Drinking Coco,USA,2023-06-15,5298.75,408,Delivered
Dotty Strutley,Fruit & Nut Bars,USA,2023-06-15,8232.75,295,Delivered
Kelci Walkden,After Nines,USA,2023-06-15,6979.5,499,Delivered
Kelci Walkden,Mint Chip Choco,UK,2023-06-15,5798.25,580,Cancelled
Barr Faughny,Baker's Choco Chips,UK,2023-06-15,2223.0,112,Delivered
Jehu Rudeforth,Organic Choco Syrup,UK,2023-06-15,10181.25,536,Delivered
Gunar Cockshoot,Peanut Butter Cubes,UK,2023-06-15,6255.0,285,Delivered
Jan Morforth,Mint Chip Choco,Canada,2023-06-15,3201.75,356,Delivered
Barr Faughny,50% Dark Bites,UK,2023-06-15,7312.5,349,Delivered
Roddy Speechley,White Choc,Canada,2023-06-15,10289.25,448,Delivered
Marney O'Breen,Choco Coated Almonds,UK,2023-06-15,5037.75,336,Delivered
Barr Faughny,70% Dark Bites,India,2023-06-16,1815.75,107,Delivered
Madelene Upcott,Smooth Silky Salty,India,2023-06-16,13171.5,1098,Delivered
Dennison Crosswaite,Mint Chip Choco,India,2023-06-16,6203.25,478,Delivered
Beverie Moffet,Orange Choco,USA,2023-06-16,15808.5,1438,Delivered
Beverie Moffet,White Choc,USA,2023-06-16,5852.25,293,Delivered
Barr Faughny,Smooth Silky Salty,India,2023-06-16,5530.5,615,Delivered
Madelene Upcott,Fruit & Nut Bars,India,2023-06-16,8163.0,327,Delivered
Gunar Cockshoot,Raspberry Choco,Canada,2023-06-16,5370.75,538,Delivered
Gigi Bohling,50% Dark Bites,New Zealand,2023-06-16,373.5,20,Delivered
Brien Boise,Raspberry Choco,Australia,2023-06-16,6779.25,1356,Cancelled
Curtice Advani,Drinking Coco,USA,2023-06-16,5328.0,485,Delivered
Kaine Padly,85% Dark Bars,Australia,2023-06-16,11866.5,475,Delivered
Gunar Cockshoot,50% Dark Bites,USA,2023-06-16,10347.75,518,Delivered
Jan Morforth,Eclairs,India,2023-06-16,4131.0,218,Delivered
Marney O'Breen,Organic Choco Syrup,USA,2023-06-16,8124.75,370,Delivered
Marney O'Breen,Baker's Choco Chips,USA,2023-06-16,3836.25,202,Delivered
Andria Kimpton,Manuka Honey Choco,New Zealand,2023-06-16,13101.75,596,Delivered
Jehu Rudeforth,Baker's Choco Chips,Canada,2023-06-16,870.75,44,Delivered
Barr Faughny,70% Dark Bites,UK,2023-06-16,6984.0,466,Delivered
Beverie Moffet,Drinking Coco,USA,2023-06-19,5820.75,448,Delivered
Van Tuxwell,Drinking Coco,New Zealand,2023-06-19,4936.5,412,Delivered
Kelci Walkden,70% Dark Bites,USA,2023-06-19,5262.75,310,Delivered
Rafaelita Blaksland,Drinking Coco,India,2023-06-19,4995.0,625,Delivered
Madelene Upcott,Peanut Butter Cubes,New Zealand,2023-06-19,7924.5,331,Delivered
Mallorie Waber,Mint Chip Choco,New Zealand,2023-06-19,5238.0,524,Delivered
Wilone O'Kielt,Orange Choco,Australia,2023-06-19,10626.75,1181,Delivered
Jehu Rudeforth,Caramel Stuffed Bars,UK,2023-06-19,9434.25,450,Delivered
Beverie Moffet,Caramel Stuffed Bars,India,2023-06-19,1530.0,90,Delivered
Husein Augar,Eclairs,UK,2023-06-19,3082.5,141,Delivered
Curtice Advani,70% Dark Bites,Australia,2023-06-19,2610.0,145,Delivered
Brien Boise,Baker's Choco Chips,Canada,2023-06-19,11407.5,713,Delivered
Curtice Advani,Peanut Butter Cubes,UK,2023-06-20,11394.0,496,Delivered
Gunar Cockshoot,70% Dark Bites,USA,2023-06-20,605.25,36,Delivered
Camilla Castle,Eclairs,USA,2023-06-20,2799.0,156,Delivered
Oby Sorrel,Smooth Silky Salty,India,2023-06-20,9069.75,1134,Delivered
Jan Morforth,Mint Chip Choco,New Zealand,2023-06-20,3757.5,376,Delivered
Kelci Walkden,99% Dark & Pure,UK,2023-06-20,6376.5,278,Delivered
Barr Faughny,Orange Choco,Australia,2023-06-20,8786.25,1099,Delivered
Kelci Walkden,Eclairs,Canada,2023-06-20,6210.0,270,Delivered
Madelene Upcott,99% Dark & Pure,New Zealand,2023-06-20,11965.5,544,Delivered
Karlen McCaffrey,Peanut Butter Cubes,USA,2023-06-20,6711.75,354,Delivered
Dotty Strutley,50% Dark Bites,India,2023-06-20,4956.75,292,Delivered
Gunar Cockshoot,Peanut Butter Cubes,UK,2023-06-20,9425.25,449,Delivered
Andria Kimpton,Eclairs,USA,2023-06-20,1035.0,45,Delivered
Jan Morforth,Eclairs,Canada,2023-06-20,963.0,42,Delivered
Wilone O'Kielt,Baker's Choco Chips,Canada,2023-06-20,12935.25,761,Delivered
Ches Bonnell,85% Dark Bars,New Zealand,2023-06-20,2337.75,94,Delivered
Dotty Strutley,Manuka Honey Choco,India,2023-06-20,319.5,16,Delivered
Kelci Walkden,Mint Chip Choco,New Zealand,2023-06-21,2198.25,220,Delivered
Wilone O'Kielt,Mint Chip Choco,India,2023-06-21,5298.75,589,Delivered
Jehu Rudeforth,Mint Chip Choco,Canada,2023-06-21,3206.25,321,Delivered
Van Tuxwell,After Nines,USA,2023-06-21,6997.5,700,Delivered
Kaine Padly,Drinking Coco,UK,2023-06-21,5388.75,490,Delivered
Gunar Cockshoot,Eclairs,New Zealand,2023-06-21,2477.25,124,Delivered
Dotty Strutley,Smooth Silky Salty,USA,2023-06-21,9711.0,1388,Delivered
Beverie Moffet,Peanut Butter Cubes,India,2023-06-21,4315.5,228,Delivered
Brien Boise,Manuka Honey Choco,New Zealand,2023-06-21,9312.75,466,Delivered
Ches Bonnell,99% Dark & Pure,Australia,2023-06-21,1743.75,80,Delivered
Ches Bonnell,50% Dark Bites,USA,2023-06-21,1647.0,75,Delivered
Van Tuxwell,Manuka Honey Choco,USA,2023-06-21,3874.5,216,Delivered
Barr Faughny,70% Dark Bites,UK,2023-06-21,1176.75,70,Delivered
Marney O'Breen,Raspberry Choco,UK,2023-06-21,722.25,91,Delivered
Husein Augar,Almond Choco,UK,2023-06-21,4556.25,456,Delivered
Mallorie Waber,70% Dark Bites,UK,2023-06-21,6714.0,395,Delivered
Gigi Bohling,Milk Bars,USA,2023-06-22,4437.0,212,Delivered
Jan Morforth,70% Dark Bites,Canada,2023-06-22,987.75,55,Delivered
Beverie Moffet,70% Dark Bites,USA,2023-06-22,7258.5,383,Delivered
Marney O'Breen,Organic Choco Syrup,UK,2023-06-22,15725.25,749,Delivered
Madelene Upcott,Peanut Butter Cubes,UK,2023-06-22,4551.75,190,Delivered
Gunar Cockshoot,Drinking Coco,UK,2023-06-22,6032.25,671,Delivered
Gunar Cockshoot,99% Dark & Pure,USA,2023-06-23,5377.5,234,Delivered
Brien Boise,50% Dark Bites,UK,2023-06-23,2648.25,156,Delivered
Barr Faughny,Baker's Choco Chips,India,2023-06-23,13079.25,872,Delivered
Beverie Moffet,Drinking Coco,Australia,2023-06-23,4493.25,500,Delivered
Jehu Rudeforth,99% Dark & Pure,USA,2023-06-23,11848.5,593,Cancelled
Barr Faughny,85% Dark Bars,New Zealand,2023-06-23,8919.0,344,Delivered
Curtice Advani,50% Dark Bites,Australia,2023-06-23,180.0,9,Delivered
Beverie Moffet,Caramel Stuffed Bars,USA,2023-06-23,16569.0,829,Delivered
Barr Faughny,Baker's Choco Chips,Canada,2023-06-23,4851.0,286,Delivered
Van Tuxwell,70% Dark Bites,UK,2023-06-23,137.25,7,Delivered
Karlen McCaffrey,Smooth Silky Salty,India,2023-06-23,405.0,34,Delivered
Madelene Upcott,Peanut Butter Cubes,Canada,2023-06-23,4934.25,247,Delivered
Karlen McCaffrey,50% Dark Bites,UK,2023-06-26,9821.25,517,Delivered
Gigi Bohling,50% Dark Bites,Australia,2023-06-26,4470.75,224,Delivered
Dotty Strutley,85% Dark Bars,UK,2023-06-26,202.5,9,Cancelled
Marney O'Breen,Peanut Butter Cubes,Australia,2023-06-26,6149.25,257,Delivered
Van Tuxwell,Smooth Silky Salty,UK,2023-06-26,10307.25,1473,Cancelled
Barr Faughny,Mint Chip Choco,Canada,2023-06-26,1503.0,151,Delivered
Madelene Upcott,Smooth Silky Salty,USA,2023-06-26,2081.25,174,Delivered
Van Tuxwell,Drinking Coco,Australia,2023-06-26,5145.75,429,Delivered
Madelene Upcott,Baker's Choco Chips,India,2023-06-26,9040.5,532,Delivered
Wilone O'Kielt,Orange Choco,UK,2023-06-27,8019.0,1337,Delivered
Brien Boise,99% Dark & Pure,New Zealand,2023-06-27,6633.0,332,Delivered
Camilla Castle,Smooth Silky Salty,UK,2023-06-27,632.25,80,Delivered
Kelci Walkden,85% Dark Bars,UK,2023-06-27,3366.0,153,Delivered
Barr Faughny,Drinking Coco,USA,2023-06-28,5476.5,498,Delivered
Van Tuxwell,Choco Coated Almonds,USA,2023-06-28,9810.0,981,Delivered
Mallorie Waber,Organic Choco Syrup,USA,2023-06-28,7863.75,394,Delivered
Jehu Rudeforth,Manuka Honey Choco,USA,2023-06-28,364.5,17,Delivered
Andria Kimpton,Spicy Special Slims,UK,2023-06-28,3210.75,189,Delivered
Roddy Speechley,85% Dark Bars,India,2023-06-28,5368.5,256,Delivered
Gunar Cockshoot,Manuka Honey Choco,USA,2023-06-28,5519.25,291,Delivered
Husein Augar,Eclairs,UK,2023-06-28,2268.0,114,Delivered
Madelene Upcott,Spicy Special Slims,UK,2023-06-28,4284.0,215,Delivered
Brien Boise,50% Dark Bites,Canada,2023-06-28,5143.5,286,Delivered
Ches Bonnell,White Choc,India,2023-06-28,4275.0,195,Delivered
Van Tuxwell,Drinking Coco,UK,2023-06-28,5172.75,575,Delivered
Roddy Speechley,Choco Coated Almonds,USA,2023-06-28,1653.75,138,Delivered
Rafaelita Blaksland,70% Dark Bites,India,2023-06-28,1629.0,102,Cancelled
Curtice Advani,50% Dark Bites,UK,2023-06-28,5402.25,246,Delivered
Andria Kimpton,Manuka Honey Choco,India,2023-06-28,634.5,34,Delivered
Brien Boise,Choco Coated Almonds,Canada,2023-06-28,9276.75,619,Delivered
Madelene Upcott,Drinking Coco,Canada,2023-06-28,5276.25,660,Delivered
Ches Bonnell,Orange Choco,UK,2023-06-28,17721.0,2954,Delivered
Marney O'Breen,Organic Choco Syrup,Canada,2023-06-28,16087.5,847,Delivered
Kelci Walkden,Orange Choco,UK,2023-06-28,9211.5,1024,Delivered
Curtice Advani,Drinking Coco,USA,2023-06-28,5058.0,390,Delivered
Kelci Walkden,99% Dark & Pure,USA,2023-06-29,13839.75,630,Delivered
Kelci Walkden,Smooth Silky Salty,Australia,2023-06-29,4533.75,567,Delivered
Gunar Cockshoot,Choco Coated Almonds,UK,2023-06-29,9299.25,846,Delivered
Roddy Speechley,85% Dark Bars,India,2023-06-29,4664.25,203,Delivered
Kaine Padly,Smooth Silky Salty,India,2023-06-29,5895.0,843,Delivered
Marney O'Breen,70% Dark Bites,Australia,2023-06-30,4754.25,298,Delivered
Oby Sorrel,99% Dark & Pure,USA,2023-06-30,8140.5,340,Delivered
Beverie Moffet,Spicy Special Slims,Australia,2023-06-30,2785.5,164,Delivered
Dotty Strutley,Drinking Coco,New Zealand,2023-06-30,4484.25,374,Delivered
Jehu Rudeforth,Drinking Coco,UK,2023-06-30,6266.25,483,Delivered
Gunar Cockshoot,Raspberry Choco,New Zealand,2023-06-30,436.5,55,Delivered
Madelene Upcott,Peanut Butter Cubes,Canada,2023-06-30,8169.75,372,Delivered
Dotty Strutley,50% Dark Bites,India,2023-06-30,456.75,26,Delivered
Gigi Bohling,Mint Chip Choco,Australia,2023-06-30,227.25,23,Delivered
Gunar Cockshoot,White Choc,USA,2023-06-30,6124.5,267,Delivered
Van Tuxwell,50% Dark Bites,UK,2023-06-30,1098.0,55,Delivered
Wilone O'Kielt,99% Dark & Pure,Canada,2023-06-30,180.0,10,Delivered
Husein Augar,99% Dark & Pure,UK,2023-06-30,13979.25,666,Delivered
Andria Kimpton,After Nines,Australia,2023-06-30,1257.75,126,Delivered
Madelene Upcott,85% Dark Bars,Canada,2023-06-30,1626.75,68,Delivered
Jehu Rudeforth,Orange Choco,Australia,2023-06-30,5980.5,748,Delivered
Roddy Speechley,Peanut Butter Cubes,Canada,2023-07-03,3235.5,141,Delivered
Jehu Rudeforth,Manuka Honey Choco,India,2023-07-03,1586.25,84,Delivered
Mallorie Waber,Manuka Honey Choco,Australia,2023-07-03,7652.25,403,Delivered
Kelci Walkden,Caramel Stuffed Bars,Canada,2023-07-03,5303.25,295,Delivered
Brien Boise,Mint Chip Choco,Canada,2023-07-03,6788.25,566,Delivered
Roddy Speechley,70% Dark Bites,Australia,2023-07-03,1539.0,91,Delivered
Marney O'Breen,Mint Chip Choco,UK,2023-07-03,4095.0,455,Delivered
Brien Boise,Smooth Silky Salty,UK,2023-07-03,2340.0,293,Delivered
Barr Faughny,Drinking Coco,New Zealand,2023-07-03,4092.75,342,Delivered
Gunar Cockshoot,Baker's Choco Chips,UK,2023-07-03,4018.5,224,Delivered
Dennison Crosswaite,Drinking Coco,Canada,2023-07-03,5717.25,520,Cancelled
Gunar Cockshoot,Drinking Coco,USA,2023-07-03,4234.5,353,Delivered
Brien Boise,White Choc,Canada,2023-07-03,6111.0,266,Delivered
Barr Faughny,50% Dark Bites,USA,2023-07-03,4934.25,291,Delivered
Rafaelita Blaksland,70% Dark Bites,Australia,2023-07-03,3431.25,202,Delivered
Gunar Cockshoot,Fruit & Nut Bars,UK,2023-07-03,2745.0,120,Delivered
Curtice Advani,70% Dark Bites,Canada,2023-07-03,2801.25,165,Delivered
Gigi Bohling,Raspberry Choco,Canada,2023-07-03,12361.5,1766,Delivered
Dotty Strutley,Eclairs,UK,2023-07-03,4182.75,182,Cancelled
Roddy Speechley,Raspberry Choco,UK,2023-07-03,8860.5,1266,Cancelled
Beverie Moffet,Peanut Butter Cubes,USA,2023-07-03,8133.75,429,Delivered
Madelene Upcott,Smooth Silky Salty,UK,2023-07-03,4007.25,334,Delivered
Dotty Strutley,Choco Coated Almonds,UK,2023-07-04,2328.75,212,Delivered
Marney O'Breen,Spicy Special Slims,UK,2023-07-04,3854.25,241,Delivered
Jan Morforth,Drinking Coco,UK,2023-07-04,6441.75,586,Delivered
Brien Boise,99% Dark & Pure,UK,2023-07-04,2940.75,123,Delivered
Rafaelita Blaksland,Manuka Honey Choco,New Zealand,2023-07-05,7112.25,375,Delivered
Barr Faughny,Caramel Stuffed Bars,USA,2023-07-05,1415.25,68,Delivered
Dotty Strutley,Choco Coated Almonds,UK,2023-07-05,5123.25,342,Delivered
Husein Augar,Orange Choco,Australia,2023-07-05,12510.0,1251,Delivered
Dotty Strutley,Organic Choco Syrup,Australia,2023-07-05,20119.5,1059,Delivered
Karlen McCaffrey,99% Dark & Pure,New Zealand,2023-07-05,2652.75,127,Delivered
Jehu Rudeforth,50% Dark Bites,UK,2023-07-05,7539.75,360,Delivered
Husein Augar,Almond Choco,Canada,2023-07-05,19212.75,1922,Delivered
Rafaelita Blaksland,After Nines,USA,2023-07-05,4214.25,325,Delivered
Van Tuxwell,Spicy Special Slims,USA,2023-07-05,1057.5,67,Delivered
Gigi Bohling,Organic Choco Syrup,Canada,2023-07-06,13041.0,593,Delivered
Wilone O'Kielt,Choco Coated Almonds,Australia,2023-07-06,4423.5,295,Delivered
Madelene Upcott,Choco Coated Almonds,New Zealand,2023-07-06,7245.0,518,Delivered
Curtice Advani,Orange Choco,USA,2023-07-06,11211.75,1869,Delivered
Dotty Strutley,Raspberry Choco,India,2023-07-06,400.5,58,Delivered
Kelci Walkden,Mint Chip Choco,India,2023-07-06,2070.0,207,Delivered
Husein Augar,Drinking Coco,UK,2023-07-06,5161.5,398,Cancelled
Brien Boise,70% Dark Bites,UK,2023-07-06,9040.5,603,Delivered
Brien Boise,85% Dark Bars,India,2023-07-07,4061.25,170,Delivered
Wilone O'Kielt,70% Dark Bites,Canada,2023-07-07,5323.5,296,Delivered
Rafaelita Blaksland,Drinking Coco,UK,2023-07-07,5620.5,625,Delivered
Brien Boise,Mint Chip Choco,UK,2023-07-07,4549.5,506,Delivered
Gunar Cockshoot,Mint Chip Choco,UK,2023-07-07,873.0,73,Delivered
Roddy Speechley,70% Dark Bites,UK,2023-07-07,4347.0,256,Delivered
Brien Boise,Fruit & Nut Bars,UK,2023-07-07,8410.5,301,Delivered
Husein Augar,70% Dark Bites,India,2023-07-07,747.0,50,Cancelled
Gigi Bohling,Manuka Honey Choco,UK,2023-07-07,4860.0,232,Delivered
Kelci Walkden,Manuka Honey Choco,UK,2023-07-07,7395.75,411,Delivered
Husein Augar,99% Dark & Pure,New Zealand,2023-07-07,9227.25,462,Delivered
Dotty Strutley,Eclairs,New Zealand,2023-07-07,5712.75,273,Delivered
Jehu Rudeforth,85% Dark Bars,UK,2023-07-07,8649.0,333,Delivered
Husein Augar,99% Dark & Pure,Canada,2023-07-07,5145.75,215,Delivered
Jan Morforth,Drinking Coco,India,2023-07-07,5676.75,568,Delivered
Madelene Upcott,Spicy Special Slims,India,2023-07-07,2542.5,128,Delivered
Brien Boise,Organic Choco Syrup,USA,2023-07-07,6756.75,376,Delivered
Gunar Cockshoot,After Nines,Australia,2023-07-07,7103.25,474,Delivered
Rafaelita Blaksland,Caramel Stuffed Bars,India,2023-07-10,20470.5,931,Delivered
Dotty Strutley,85% Dark Bars,Australia,2023-07-10,10143.0,391,Delivered
Curtice Advani,Organic Choco Syrup,UK,2023-07-10,2061.0,99,Delivered
Karlen McCaffrey,Baker's Choco Chips,UK,2023-07-10,9742.5,609,Delivered
Dotty Strutley,Choco Coated Almonds,India,2023-07-10,875.25,63,Delivered
Brien Boise,Baker's Choco Chips,UK,2023-07-10,596.25,34,Delivered
Jehu Rudeforth,Baker's Choco Chips,USA,2023-07-10,405.0,22,Delivered
Madelene Upcott,Caramel Stuffed Bars,USA,2023-07-10,13529.25,645,Delivered
Brien Boise,White Choc,New Zealand,2023-07-10,4194.0,168,Delivered
Marney O'Breen,Eclairs,New Zealand,2023-07-10,6747.75,356,Delivered
Curtice Advani,Smooth Silky Salty,USA,2023-07-10,7533.0,1077,Delivered
Marney O'Breen,50% Dark Bites,USA,2023-07-10,279.0,14,Delivered
Jehu Rudeforth,Spicy Special Slims,India,2023-07-10,7236.0,453,Delivered
Andria Kimpton,White Choc,USA,2023-07-11,6129.0,246,Delivered
Karlen McCaffrey,Mint Chip Choco,UK,2023-07-11,3440.25,246,Delivered
Van Tuxwell,Choco Coated Almonds,Canada,2023-07-11,252.0,21,Delivered
Kelci Walkden,Smooth Silky Salty,USA,2023-07-11,4797.0,533,Delivered
Beverie Moffet,Spicy Special Slims,UK,2023-07-11,2103.75,117,Delivered
Dotty Strutley,Spicy Special Slims,USA,2023-07-11,7465.5,393,Delivered
Brien Boise,Choco Coated Almonds,New Zealand,2023-07-11,265.5,23,Delivered
Gunar Cockshoot,Choco Coated Almonds,Australia,2023-07-11,4974.75,498,Delivered
Jan Morforth,Choco Coated Almonds,India,2023-07-11,3107.25,222,Delivered
Barr Faughny,Fruit & Nut Bars,USA,2023-07-11,7749.0,277,Cancelled
Curtice Advani,50% Dark Bites,Australia,2023-07-11,519.75,31,Delivered
Beverie Moffet,Orange Choco,Australia,2023-07-11,11283.75,1411,Delivered
Jehu Rudeforth,Smooth Silky Salty,USA,2023-07-11,1377.0,197,Delivered
Oby Sorrel,Manuka Honey Choco,India,2023-07-11,5555.25,265,Delivered
Roddy Speechley,Milk Bars,UK,2023-07-11,5125.5,285,Delivered
Gigi Bohling,Choco Coated Almonds,India,2023-07-11,3919.5,302,Delivered
Dennison Crosswaite,Smooth Silky Salty,New Zealand,2023-07-11,15162.75,1264,Delivered
Roddy Speechley,Drinking Coco,USA,2023-07-11,5460.75,456,Delivered
Dotty Strutley,Choco Coated Almonds,India,2023-07-11,740.25,68,Delivered
Marney O'Breen,Drinking Coco,India,2023-07-11,5472.0,548,Delivered
Dotty Strutley,Manuka Honey Choco,Australia,2023-07-12,6900.75,364,Delivered
Dotty Strutley,Manuka Honey Choco,USA,2023-07-12,1905.75,83,Delivered
Gunar Cockshoot,70% Dark Bites,UK,2023-07-12,3314.25,208,Delivered
Kelci Walkden,Smooth Silky Salty,Canada,2023-07-12,5742.0,718,Delivered
Beverie Moffet,Baker's Choco Chips,USA,2023-07-12,5123.25,270,Delivered
Camilla Castle,Baker's Choco Chips,UK,2023-07-12,13410.0,671,Delivered
Kelci Walkden,Raspberry Choco,Canada,2023-07-12,8991.0,1124,Delivered
Curtice Advani,99% Dark & Pure,Canada,2023-07-12,9843.75,519,Delivered
Barr Faughny,Eclairs,India,2023-07-12,5127.75,257,Cancelled
Gigi Bohling,85% Dark Bars,Australia,2023-07-12,414.0,18,Delivered
Curtice Advani,Fruit & Nut Bars,Australia,2023-07-12,6680.25,257,Delivered
Husein Augar,Mint Chip Choco,UK,2023-07-12,4365.0,312,Delivered
Wilone O'Kielt,Drinking Coco,USA,2023-07-12,5658.75,472,Delivered
Roddy Speechley,Mint Chip Choco,UK,2023-07-13,2427.75,203,Delivered
Brien Boise,Milk Bars,UK,2023-07-13,2731.5,161,Delivered
Marney O'Breen,Manuka Honey Choco,New Zealand,2023-07-13,5193.0,226,Delivered
Curtice Advani,Baker's Choco Chips,Canada,2023-07-13,4061.25,204,Delivered
Roddy Speechley,Baker's Choco Chips,USA,2023-07-13,11394.0,760,Delivered
Brien Boise,Baker's Choco Chips,Australia,2023-07-13,3498.75,219,Delivered
Madelene Upcott,Eclairs,UK,2023-07-14,3784.5,165,Delivered
Ches Bonnell,Baker's Choco Chips,USA,2023-07-14,3222.0,202,Delivered
Gigi Bohling,Raspberry Choco,USA,2023-07-14,1233.0,124,Delivered
Kelci Walkden,Fruit & Nut Bars,UK,2023-07-14,12386.25,477,Cancelled
Ches Bonnell,99% Dark & Pure,Australia,2023-07-14,19302.75,805,Delivered
Roddy Speechley,Spicy Special Slims,Australia,2023-07-14,4214.25,248,Delivered
Beverie Moffet,Eclairs,New Zealand,2023-07-14,8039.25,350,Delivered
Dotty Strutley,70% Dark Bites,USA,2023-07-14,317.25,18,Delivered
Marney O'Breen,Baker's Choco Chips,USA,2023-07-14,7103.25,374,Delivered
Madelene Upcott,Drinking Coco,Canada,2023-07-14,5645.25,565,Delivered
Ches Bonnell,Mint Chip Choco,India,2023-07-14,10761.75,897,Delivered
Ches Bonnell,Organic Choco Syrup,USA,2023-07-14,7683.75,405,Delivered
Curtice Advani,Fruit & Nut Bars,USA,2023-07-14,4218.75,169,Delivered
Brien Boise,Choco Coated Almonds,USA,2023-07-14,7132.5,714,Delivered
Brien Boise,70% Dark Bites,USA,2023-07-14,5361.75,358,Delivered
Gunar Cockshoot,99% Dark & Pure,UK,2023-07-14,17104.5,778,Delivered
Gigi Bohling,70% Dark Bites,UK,2023-07-17,3118.5,208,Delivered
Jehu Rudeforth,Orange Choco,Canada,2023-07-17,9348.75,850,Cancelled
Beverie Moffet,99% Dark & Pure,UK,2023-07-17,8847.0,369,Delivered
Marney O'Breen,Eclairs,India,2023-07-17,6797.25,358,Delivered
Dotty Strutley,50% Dark Bites,Canada,2023-07-17,5793.75,264,Delivered
Kelci Walkden,Baker's Choco Chips,USA,2023-07-17,7438.5,438,Delivered
Madelene Upcott,50% Dark Bites,UK,2023-07-17,3465.0,193,Delivered
Oby Sorrel,Drinking Coco,New Zealand,2023-07-17,5400.0,416,Delivered
Beverie Moffet,Raspberry Choco,Canada,2023-07-17,3642.75,456,Delivered
Kelci Walkden,Manuka Honey Choco,UK,2023-07-17,21197.25,922,Delivered
Roddy Speechley,Milk Bars,Australia,2023-07-17,621.0,32,Delivered
Curtice Advani,Fruit & Nut Bars,UK,2023-07-17,7431.75,298,Delivered
Wilone O'Kielt,50% Dark Bites,Canada,2023-07-17,7278.75,347,Delivered
Karlen McCaffrey,Fruit & Nut Bars,New Zealand,2023-07-17,10017.0,371,Cancelled
Roddy Speechley,Fruit & Nut Bars,Canada,2023-07-17,373.5,17,Delivered
Husein Augar,Organic Choco Syrup,USA,2023-07-17,5420.25,247,Delivered
Wilone O'Kielt,Smooth Silky Salty,Canada,2023-07-17,18769.5,2682,Delivered
Gigi Bohling,Orange Choco,India,2023-07-17,7539.75,1257,Delivered
Mallorie Waber,70% Dark Bites,Canada,2023-07-17,3665.25,193,Delivered
Kaine Padly,Eclairs,Australia,2023-07-17,7994.25,381,Delivered
Dotty Strutley,70% Dark Bites,India,2023-07-18,1323.0,70,Delivered
Rafaelita Blaksland,Caramel Stuffed Bars,USA,2023-07-18,9573.75,564,Delivered
Brien Boise,Eclairs,India,2023-07-18,5260.5,240,Delivered
Kaine Padly,Spicy Special Slims,UK,2023-07-18,1822.5,102,Delivered
Barr Faughny,Fruit & Nut Bars,New Zealand,2023-07-18,3156.75,127,Cancelled
Rafaelita Blaksland,Mint Chip Choco,Canada,2023-07-18,726.75,52,Delivered
Beverie Moffet,Raspberry Choco,Canada,2023-07-18,5872.5,653,Delivered
Ches Bonnell,Eclairs,New Zealand,2023-07-18,2380.5,126,Delivered
Ches Bonnell,Mint Chip Choco,New Zealand,2023-07-18,78.75,7,Delivered
Dotty Strutley,Choco Coated Almonds,USA,2023-07-18,2988.0,214,Delivered
Dotty Strutley,Manuka Honey Choco,USA,2023-07-18,4099.5,179,Delivered
Barr Faughny,Drinking Coco,India,2023-07-18,6293.25,525,Delivered
Brien Boise,Organic Choco Syrup,Australia,2023-07-18,5359.5,234,Delivered
Marney O'Breen,Almond Choco,India,2023-07-18,4403.25,367,Delivered
Gigi Bohling,Manuka Honey Choco,Canada,2023-07-18,1719.0,91,Delivered
Marney O'Breen,Spicy Special Slims,Australia,2023-07-18,5204.25,261,Delivered
Wilone O'Kielt,Orange Choco,UK,2023-07-18,3624.75,454,Cancelled
